# bench_static_markup_with_demo_app
runs,cycles,nanos,compactions,minor_allocated,major_allocated,promoted,major_collections,minor_collections
278,4456958,4457950,0,798947,291202,1804,0,3
280,4457542,4457950,0,799744,293284,1804,0,3
282,4532250,4533052,0,800541,295366,1804,0,3
284,4653959,4654169,0,801339,297448,1804,0,3
286,4631709,4631996,0,802136,299530,1804,0,3
288,4654125,4655122,0,802933,301612,1804,0,3
290,4712916,4713058,0,803730,303694,1804,0,3
292,4665459,4665851,0,804528,305776,1804,0,3
294,4779375,4780054,0,805325,307858,1804,0,3
296,4879333,4879951,0,806122,309940,1804,0,3
298,4818959,4820108,0,806919,312022,1804,0,3
300,4784583,4785299,0,807717,314104,1804,0,3
303,4829084,4831075,0,808913,317227,1804,0,3
306,4993792,4994869,0,810108,320350,1804,0,3
309,5038375,5038976,0,811304,323473,1804,0,3
312,5043667,5045175,0,812500,326596,1804,0,3
315,5110083,5110979,0,813696,329719,1804,0,3
318,5318291,5320072,0,814892,332842,1804,0,3
321,5291542,5292892,0,816088,335965,1804,0,3
324,5229625,5230188,0,817284,339088,1804,0,3
327,5246958,5246877,0,818480,342211,1804,0,3
330,5348666,5349874,0,1049050,346344,2814,0,4
333,5441917,5446910,0,1050246,349467,2814,0,4
336,5480000,5481004,0,1051441,352590,2814,0,4
339,5526542,5530118,0,1052637,355713,2814,0,4
342,5536417,5537033,0,1053833,358836,2814,0,4
345,5598166,5600214,0,1055029,361959,2814,0,4
348,5645416,5645990,0,1056225,365082,2814,0,4
351,5844458,5845069,0,1057421,368205,2814,0,4
354,5728042,5730152,0,1058617,371328,2814,0,4
357,5764084,5763769,0,1059813,374451,2814,0,4
360,5892750,5894184,0,1061008,377574,2814,0,4
363,5977459,5978107,0,1062204,380697,2814,0,4
366,5860291,5861282,0,1063400,383820,2814,0,4
369,6062000,6062746,0,1064596,386943,2814,0,4
372,6082916,6083726,0,1065792,390066,2814,0,4
375,6070916,6072044,0,1066988,393189,2814,0,4
378,6109375,6109952,0,1068184,396312,2814,0,4
381,6342875,6343126,0,1069380,399435,2814,0,4
384,6322417,6326913,0,1070575,402558,2814,0,4
387,6372750,6373882,0,1071771,405681,2814,0,4
390,6307500,6309032,0,1072967,408804,2814,0,4
393,6319250,6319761,0,1074163,411927,2814,0,4
396,6415667,6419181,0,1075359,415050,2814,0,4
399,6581958,6585836,0,1076555,418173,2814,0,4
402,6698334,6700038,0,1077751,421296,2814,0,4
406,6465958,6466150,0,1079345,425460,2814,0,4
410,6684167,6685018,0,1080940,429624,2814,0,4
414,6721541,6724119,0,1311901,434501,3527,0,5
418,6769584,6769895,0,1313495,438665,3527,0,5
422,6848750,6849050,0,1315090,442829,3527,0,5
426,6808792,6810188,0,1316684,446993,3527,0,5
430,6898833,6901025,0,1318279,451157,3527,0,5
434,7035625,7035732,0,1319873,455321,3527,0,5
438,7115208,7117748,0,1321468,459485,3527,0,5
442,7169333,7170200,0,1323062,463649,3527,0,5
446,7131583,7133245,0,1324657,467813,3527,0,5
450,7276333,7276058,0,1326251,471977,3527,0,5
454,7426000,7426977,0,1327846,476141,3527,0,5
458,7334042,7334947,0,1329440,480305,3527,0,5
462,7789333,7791042,0,1331035,484469,3527,0,5
466,7644500,7645130,0,1332629,488633,3527,0,5
470,7703584,7703781,0,1334224,492797,3527,0,5
474,7843833,7843971,0,1335818,496961,3527,0,5
478,7636667,7639169,0,1337413,501125,3527,0,5
482,7825792,7827997,0,1339007,505289,3527,0,5
486,7753042,7752895,0,1340602,509453,3527,0,5
490,8114458,8115053,0,1342196,513617,3527,0,5
494,7872375,7874011,0,1573166,518111,3857,0,6
498,8162792,8162975,0,1574760,522275,3857,0,6
