# bench_static_markup_with_simple_app
runs,cycles,nanos,compactions,minor_allocated,major_allocated,promoted,major_collections,minor_collections
632,208959,209331,0,22361,0,0,0,0
638,214000,214099,0,22573,0,0,0,0
644,215500,216007,0,22785,0,0,0,0
650,211000,211238,0,22998,0,0,0,0
656,241625,241994,0,23210,0,0,0,0
662,225875,226020,0,23422,0,0,0,0
668,226375,226974,0,23634,0,0,0,0
674,221459,221967,0,23847,0,0,0,0
680,220250,220060,0,24059,0,0,0,0
686,224375,224113,0,24271,0,0,0,0
692,229666,228881,0,24483,0,0,0,0
698,230041,230312,0,24696,0,0,0,0
704,232250,231981,0,24908,0,0,0,0
711,234875,235080,0,25155,0,0,0,0
718,235500,236034,0,25403,0,0,0,0
725,240584,240802,0,25651,0,0,0,0
732,243667,243186,0,25898,0,0,0,0
739,247708,247955,0,26146,0,0,0,0
746,252875,252962,0,26394,0,0,0,0
753,254709,254869,0,26641,0,0,0,0
760,254500,254154,0,26889,0,0,0,0
767,256209,256061,0,27136,0,0,0,0
774,251125,250816,0,27384,0,0,0,0
781,256917,257015,0,27632,0,0,0,0
788,260375,260829,0,27879,0,0,0,0
795,260417,260829,0,28127,0,0,0,0
802,262917,262975,0,28375,0,0,0,0
810,270375,271081,0,28658,0,0,0,0
818,282583,282764,0,28941,0,0,0,0
826,276958,277042,0,29224,0,0,0,0
834,282125,282287,0,29507,0,0,0,0
842,281833,282287,0,29790,0,0,0,0
850,284209,283718,0,30073,0,0,0,0
858,293333,293731,0,30356,0,0,0,0
866,289666,290155,0,30639,0,0,0,0
874,400833,400781,0,30922,0,0,0,0
882,297000,300645,0,31205,0,0,0,0
890,343000,343084,0,31488,0,0,0,0
898,301500,301122,0,31771,0,0,0,0
906,303958,303983,0,32054,0,0,0,0
28,9375,10251,0,994,0,0,0,0
